using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::stride         0.00%       1.718us         0.00%       1.718us       1.718us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.146us         0.00%       1.146us       1.146us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      24.375us         0.00%      24.375us      24.375us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 842.350ms
CUDA time total: 852.773ms
AlexNet
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         5.22%      46.155ms        62.41%     552.311ms     552.311ms      46.159ms         5.13%     552.675ms     552.675ms             1  
                aten::convolution         0.04%     364.479us        57.19%     506.155ms     506.155ms     290.844us         0.03%     506.515ms     506.515ms             1  
               aten::_convolution         1.79%      15.851ms        57.15%     505.791ms     505.791ms      15.881ms         1.77%     506.225ms     506.225ms             1  
                 aten::contiguous         0.03%     293.021us         0.03%     293.021us     293.021us     223.445us         0.02%     223.445us     223.445us             1  
          aten::cudnn_convolution        45.94%     406.565ms        49.37%     436.911ms     436.911ms     436.547ms        48.55%     436.817ms     436.817ms             1  
                      aten::empty         0.10%     881.302us         0.10%     881.302us     881.302us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.03%     272.604us         0.03%     272.604us     272.604us     238.547us         0.03%     238.547us     238.547us             1  
                    aten::resize_         3.24%      28.703ms         3.24%      28.703ms      28.703ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      46.302us         0.01%      46.302us      46.302us      31.500us         0.00%      31.500us      31.500us             1  
                    aten::resize_         0.00%       3.438us         0.00%       3.438us       3.438us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.04%     394.896us         0.04%     394.896us     394.896us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.989us         0.00%       0.989us       0.989us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      40.729us         0.00%      40.729us      40.729us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%     112.448us         0.02%     220.521us     220.521us     220.188us         0.02%     220.188us     220.188us             1  
                       aten::view         0.01%     108.073us         0.01%     108.073us     108.073us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         5.93%      52.516ms         5.93%      52.516ms      52.516ms      53.083ms         5.90%      53.083ms      53.083ms             1  
