using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.531us         0.00%       4.531us       4.531us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      12.448us         0.00%      12.448us      12.448us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      55.052us         0.02%     110.729us     110.729us       0.812us         0.00%       0.812us       0.812us             1  
                       aten::view         0.01%      55.677us         0.01%      55.677us      55.677us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.04%     266.718us         0.04%     266.718us     266.718us     128.688us         0.02%     128.688us     128.688us             1  
                       aten::relu         0.05%     307.293us         0.09%     517.136us     517.136us       3.562us         0.00%      44.062us      44.062us             1  
                  aten::threshold         0.03%     179.687us         0.03%     209.843us     209.843us      40.500us         0.01%      40.500us      40.500us             1  
                      aten::empty         0.00%      30.156us         0.00%      30.156us      30.156us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     139.324us         0.35%       2.084ms       2.084ms       1.625us         0.00%       5.353ms       5.353ms             1  
                aten::convolution         0.02%     114.062us         0.32%       1.944ms       1.944ms       1.500us         0.00%       5.352ms       5.352ms             1  
               aten::_convolution         0.06%     339.011us         0.30%       1.830ms       1.830ms       3.875us         0.00%       5.350ms       5.350ms             1  
                 aten::contiguous         0.01%      59.219us         0.01%      59.219us      59.219us       0.812us         0.00%       0.812us       0.812us             1  
          aten::cudnn_convolution         0.14%     821.823us         0.17%       1.004ms       1.004ms       5.209ms         0.85%       5.210ms       5.210ms             1  
                      aten::empty         0.00%      22.708us         0.00%      22.708us      22.708us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      57.344us         0.01%      57.344us      57.344us       0.812us         0.00%       0.812us       0.812us             1  
                    aten::resize_         0.00%       6.354us         0.00%       6.354us       6.354us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      50.573us         0.01%      50.573us      50.573us       0.812us         0.00%       0.812us       0.812us             1  
                    aten::resize_         0.00%      10.885us         0.00%      10.885us      10.885us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.802us         0.00%       3.802us       3.802us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.240us         0.00%       2.240us       2.240us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.344us         0.00%       2.344us       2.344us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.979us         0.00%       1.979us       1.979us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      23.854us         0.00%      23.854us      23.854us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 603.709ms
CUDA time total: 612.617ms
AlexNet_without_conv5
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         0.89%     101.197us        15.88%       1.808ms       1.808ms      42.292us         0.06%      10.230ms      10.230ms             1  
                aten::convolution         0.75%      85.104us        14.99%       1.707ms       1.707ms      37.083us         0.05%      10.188ms      10.188ms             1  
               aten::_convolution         2.32%     264.481us        14.25%       1.622ms       1.622ms     102.189us         0.15%      10.151ms      10.151ms             1  
                 aten::contiguous         0.31%      34.739us         0.31%      34.739us      34.739us      29.271us         0.04%      29.271us      29.271us             1  
          aten::cudnn_convolution         6.86%     780.678us         8.09%     920.781us     920.781us       8.860ms        12.91%       8.936ms       8.936ms             1  
                      aten::empty         0.22%      24.531us         0.22%      24.531us      24.531us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.41%      46.822us         0.41%      46.822us      46.822us      36.928us         0.05%      36.928us      36.928us             1  
                    aten::resize_         0.04%       4.635us         0.04%       4.635us       4.635us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.31%      35.833us         0.31%      35.833us      35.833us      39.011us         0.06%      39.011us      39.011us             1  
                    aten::resize_         0.03%       3.021us         0.03%       3.021us       3.021us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       2.604us         0.02%       2.604us       2.604us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.510us         0.01%       1.510us       1.510us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.250us         0.01%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.355us         0.01%       1.355us       1.355us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.16%      18.542us         0.16%      18.542us      18.542us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.55%      62.240us         1.02%     116.042us     116.042us       1.354us         0.00%       1.354us       1.354us             1  
                       aten::view         0.47%      53.802us         0.47%      53.802us      53.802us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         2.51%     286.093us         2.51%     286.093us     286.093us       1.082ms         1.58%       1.082ms       1.082ms             1  
                       aten::relu         2.14%     243.437us         3.67%     418.385us     418.385us       5.572us         0.01%     304.687us     304.687us             1  
                  aten::threshold         1.32%     150.156us         1.54%     174.948us     174.948us     299.114us         0.44%     299.114us     299.114us             1  
                      aten::empty         0.22%      24.792us         0.22%      24.792us      24.792us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         1.01%     114.531us         5.46%     621.562us     621.562us       2.710us         0.00%     926.875us     926.875us             1  
    aten::max_pool2d_with_indices         3.48%     395.883us         4.45%     507.031us     507.031us     922.757us         1.34%     924.165us     924.165us             1  
                      aten::empty         0.10%      11.354us         0.10%      11.354us      11.354us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.07%       7.865us         0.07%       7.865us       7.865us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.45%      51.511us         0.45%      51.511us      51.511us       1.408us         0.00%       1.408us       1.408us             1  
                     aten::stride         0.03%       3.178us         0.03%       3.178us       3.178us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       2.084us         0.02%       2.084us       2.084us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       1.979us         0.02%       1.979us       1.979us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       1.770us         0.02%       1.770us       1.770us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.18%      20.730us         0.18%      20.730us      20.730us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.09%      10.677us         0.09%      10.677us      10.677us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.87%      98.803us        13.67%       1.557ms       1.557ms       2.030us         0.00%      37.505ms      37.505ms             1  
                aten::convolution         0.71%      81.041us        12.80%       1.458ms       1.458ms       2.083us         0.00%      37.503ms      37.503ms             1  
               aten::_convolution         1.94%     221.406us        12.09%       1.377ms       1.377ms       5.158us         0.01%      37.501ms      37.501ms             1  
                 aten::contiguous         0.46%      52.604us         0.46%      52.604us      52.604us       1.354us         0.00%       1.354us       1.354us             1  
          aten::cudnn_convolution         6.34%     721.615us         7.76%     883.021us     883.021us      37.185ms        54.19%      37.188ms      37.188ms             1  
                      aten::empty         0.19%      21.718us         0.19%      21.718us      21.718us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.45%      51.354us         0.45%      51.354us      51.354us       1.354us         0.00%       1.354us       1.354us             1  
                    aten::resize_         0.05%       5.209us         0.05%       5.209us       5.209us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.42%      48.177us         0.42%      48.177us      48.177us       1.355us         0.00%       1.355us       1.355us             1  
                    aten::resize_         0.04%       4.480us         0.04%       4.480us       4.480us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.03%       3.385us         0.03%       3.385us       3.385us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       2.031us         0.02%       2.031us       2.031us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       1.979us         0.02%       1.979us       1.979us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       1.771us         0.02%       1.771us       1.771us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.19%      21.302us         0.19%      21.302us      21.302us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.28%      31.927us         0.56%      63.802us      63.802us       0.730us         0.00%       0.730us       0.730us             1  
                       aten::view         0.28%      31.875us         0.28%      31.875us      31.875us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         1.37%     155.938us         1.37%     155.938us     155.938us     305.363us         0.45%     305.363us     305.363us             1  
                       aten::relu         1.37%     156.146us         2.32%     264.531us     264.531us       2.812us         0.00%     107.812us     107.812us             1  
                  aten::threshold         0.81%      92.396us         0.95%     108.385us     108.385us     105.000us         0.15%     105.000us     105.000us             1  
                      aten::empty         0.14%      15.989us         0.14%      15.989us      15.989us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.71%      81.406us         3.64%     414.688us     414.688us       1.410us         0.00%     258.750us     258.750us             1  
    aten::max_pool2d_with_indices         2.26%     257.500us         2.93%     333.282us     333.282us     256.668us         0.37%     257.340us     257.340us             1  
                      aten::empty         0.07%       7.448us         0.07%       7.448us       7.448us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.05%       5.417us         0.05%       5.417us       5.417us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.31%      34.896us         0.31%      34.896us      34.896us       0.672us         0.00%       0.672us       0.672us             1  
                     aten::stride         0.02%       2.136us         0.02%       2.136us       2.136us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.198us         0.01%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.250us         0.01%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.302us         0.01%       1.302us       1.302us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.12%      14.114us         0.12%      14.114us      14.114us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.07%       8.021us         0.07%       8.021us       8.021us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.61%      69.062us        10.77%       1.227ms       1.227ms       1.461us         0.00%       4.444ms       4.444ms             1  
                aten::convolution         0.57%      64.896us        10.17%       1.158ms       1.158ms       1.402us         0.00%       4.442ms       4.442ms             1  
               aten::_convolution         1.71%     194.690us         9.60%       1.093ms       1.093ms       3.488us         0.01%       4.441ms       4.441ms             1  
                 aten::contiguous         0.28%      32.291us         0.28%      32.291us      32.291us       0.730us         0.00%       0.730us       0.730us             1  
          aten::cudnn_convolution         4.50%     512.500us         5.42%     617.552us     617.552us       4.318ms         6.29%       4.320ms       4.320ms             1  
                      aten::empty         0.12%      13.698us         0.12%      13.698us      13.698us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.30%      34.531us         0.30%      34.531us      34.531us       0.680us         0.00%       0.680us       0.680us             1  
                    aten::resize_         0.03%       3.386us         0.03%       3.386us       3.386us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.28%      31.927us         0.28%      31.927us      31.927us       0.730us         0.00%       0.730us       0.730us             1  
                    aten::resize_         0.03%       3.125us         0.03%       3.125us       3.125us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       2.031us         0.02%       2.031us       2.031us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.250us         0.01%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.146us         0.01%       1.146us       1.146us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.250us         0.01%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.11%      12.708us         0.11%      12.708us      12.708us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.35%      40.207us         0.64%      72.968us      72.968us       0.676us         0.00%       0.676us       0.676us             1  
                       aten::view         0.29%      32.761us         0.29%      32.761us      32.761us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         1.54%     175.364us         1.54%     175.364us     175.364us     116.301us         0.17%     116.301us     116.301us             1  
                       aten::relu         1.40%     159.739us         2.34%     266.458us     266.458us       3.180us         0.00%      40.781us      40.781us             1  
                  aten::threshold         0.80%      91.458us         0.94%     106.719us     106.719us      37.602us         0.05%      37.602us      37.602us             1  
                      aten::empty         0.13%      15.261us         0.13%      15.261us      15.261us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.61%      69.897us        12.35%       1.406ms       1.406ms       1.406us         0.00%       8.268ms       8.268ms             1  
                aten::convolution         0.61%      69.427us        11.74%       1.337ms       1.337ms       1.402us         0.00%       8.266ms       8.266ms             1  
               aten::_convolution         1.76%     200.625us        11.13%       1.267ms       1.267ms       3.594us         0.01%       8.265ms       8.265ms             1  
                 aten::contiguous         0.33%      37.239us         0.33%      37.239us      37.239us       0.676us         0.00%       0.676us       0.676us             1  
          aten::cudnn_convolution         5.71%     649.740us         6.75%     769.062us     769.062us       8.143ms        11.87%       8.145ms       8.145ms             1  
                      aten::empty         0.17%      18.854us         0.17%      18.854us      18.854us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.35%      39.479us         0.35%      39.479us      39.479us       0.727us         0.00%       0.727us       0.727us             1  
                    aten::resize_         0.03%       3.489us         0.03%       3.489us       3.489us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.28%      31.823us         0.28%      31.823us      31.823us       0.727us         0.00%       0.727us       0.727us             1  
                    aten::resize_         0.03%       2.969us         0.03%       2.969us       2.969us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.02%       2.604us         0.02%       2.604us       2.604us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.198us         0.01%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.198us         0.01%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.250us         0.01%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.14%      16.458us         0.14%      16.458us      16.458us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.386ms
CUDA time total: 68.615ms
AlexNet_without_BothFC

"AlexNet","AlexNet","AlexNet_without_conv1", "AlexNet_without_conv2", "AlexNet_without_conv3",
                   "AlexNet_without_conv4", "AlexNet_without_conv5", "AlexNet_without_BothFC"
